id,groupId,name,category,imageUrl,description,createdAt,updatedAt,coordinates,isFavorite,isVisited,notes,order,yaMapUrl,userId
cmlnuaycn000byfs8807ut23y,cmlntj8vx0001deuwrf41d6f4,Музей народного деревянного зодчества Витославлицы,Культура,https://avatars.mds.yandex.net/get-altay/1630630/2a0000016ae30e7183b40d50fced2ce742a5/XXXL,"«Витославлицы» — это музей-заповедник под Великим Новгородом, где под открытым небом собраны образцы русского деревянного зодчества. Здесь можно увидеть ветряные мельницы, колоритные крестьянские избы, традиционный хозяйственный двор и церковь Рождества Богородицы — одну из древнейших в России, построенную в 1531 году. В некоторые дома и церкви можно зайти и посмотреть на быт наших предков изнутри.",2026-02-15 14:27:40.775,2026-02-15 21:21:19.145,"[58.490332, 31.272345]",f,t,[],7,https://yandex.ru/maps/-/CPUrz0jM,cmjmw1dtu000010mlvrhu3o7o
cmkwrsc72000110435a4luwfk,cmkvbalj70001nhn8d6tsk8rs,Городской пляж,Природа,https://avatars.mds.yandex.net/get-altay/879259/2a00000189073514e364d0d3038b1f084aae/XXXL,"Городской пляж — это песчаный пляж на берегу реки Волги в городе Вольске Саратовской области. Он оборудован шезлонгами, кабинками для переодевания, беседками с мангалами и кафе. Также на пляже есть прокат сапбордов.",2026-01-27 15:47:26.27,2026-02-15 21:20:01.798,"[52.041236, 47.406809]",f,t,[],2,https://yandex.ru/maps/-/CLx7y4~o,cmjmw1dtu000010mlvrhu3o7o
cml96fdh400015flghm9vfu0q,cmkvbalj70001nhn8d6tsk8rs,Вольский меловой карьер,Природа,https://avatars.mds.yandex.net/get-altay/16341471/2a000001996ac34d1a5a86168020accc57b4/XXXL,"Меловой карьер бывшего цементного завода «Красный Октябрь» - это уникальный памятник истории, культуры и природы, одно из самых живописных и самых необычных мест в Саратовской области. В разрезах карьера до сих пор можно найти останки древних головоногих и двустворчатых моллюсков.",2026-02-05 08:10:29.752,2026-02-15 21:20:01.798,"[52.017025, 47.329279]",f,f,[],8,https://yandex.ru/maps/-/CPEFmFM~,cmjmw1dtu000010mlvrhu3o7o
cml96ju1d0003q7qrnttwdhd0,cmkvbalj70001nhn8d6tsk8rs,Пляж на острове,Природа,https://avatars.mds.yandex.net/get-altay/16270073/2a000001983fc3e5f77fef9c012dfd251af0/XXXL,"Отлично, чистый песок, шикарные виды, мелко для детей самое то. Важно, что есть место для переодевания. Относительно чисто. Много детишек. Просто и доступно. Катера катаются часто, вполне можно переплыть на противоложный берег.",2026-02-05 08:13:57.841,2026-02-15 21:20:01.798,"[52.016883, 47.392686]",f,f,[],9,https://yandex.ru/maps/-/CPEFqSpK,cmjmw1dtu000010mlvrhu3o7o
cml97ceax0001moul9mfpsmuv,cmkvbalj70001nhn8d6tsk8rs,Картинная галерея,Культура,https://avatars.mds.yandex.net/get-altay/1899063/2a0000016ae3321c18af85d013c27a9ef847/XXXL,"Замечательный музей. Очень интересное здание как с архитектурной точки зрения, так и с исторической. Впечатлила экспозиция, особенно наличие подлинника Айвазовского. ",2026-02-05 08:36:10.473,2026-02-15 21:20:01.798,"[52.041119, 47.392663]",f,f,[],11,https://yandex.ru/maps/-/CPEFbUpS,cmjmw1dtu000010mlvrhu3o7o
cmm1s2ahp0004frh74wgfuc0e,cmm0du8uj0001uw783yzijbcz,Храм святой равноапостольной Марии Магдалины,Церковь,https://avatars.mds.yandex.net/get-altay/12731162/2a0000018f596273512864d1bfd19dd47d3d/XXXL,"Совсем рядом с местом традиционного воскресного ""паломничества"" петербуржцев - Павловским парком - находится храм Святой Равноапостольной Марии Магдалины. Этот храм - первое каменное сооружение города. В мае 1781 года архитектор Дж. Кваренги на левом берегу Славянки рядом с деревней Кузнецы приступает к строительству церкви Святой Марии Магдалины с примыкающими к ней одноэтажными флигелями для богадельни и госпиталя. Закладка церкви была осуществлена в присутствии великого князя Павла Петровича. Храм был достроен и освящен митрополитом Гавриилом (Петровым) в 1784 году во имя небесной покровительницы основательницы Павловска Марии Федоровны. Образа для церкви были заказаны в Риме живописцу Кадесу, а настенная живопись была выполнена русским мастером Федором Даниловым.
Фасады церкви имеют минимум украшений. Ее апсиду окружает прислоненная тосканская колоннада, придающая зданию суровую торжественность. Внутреннее убранство отличалось изящной простотой и благолепием, о чем особенно пеклась императрица Мария Федоровна. Церковь была украшена большим запрестольным паникадилом в двенадцать свечей, выточенным из янтаря и слоновой кости руками самой императрицы Марии Федоровны. В ризнице хранились иконы апостола Павла и св. Марии Магдалины, поднесенные Святейшим Синодом в благословение цесаревичу Павлу при постройке города. В церкви находились знамена и штандарты некоторых русских полков, а также трофеи - знамена и кормовые флаги французских, итальянских и голландских войск, отбитые нашей армией под предводительством А. В. Суворова во время войны 1799 года. У северной стены храма был захоронен в 1821 году воспитатель Павла Николай Загряжский. Одновременно с самим храмом при нем был построен каменный флигель для богадельни на двадцать человек (она была учреждена в 1797 году). Спустя двенадцать лет в надстройке одноэтажного флигеля разместился Мариинский госпиталь для увечных воинов. В церкви размещены усыпальницы первых министров Иностранных дел Российского государства Н. И. Панина и А. Б. Куракина.

После революции в госпитале разместилась обувная фабрика ""Спартак"", которая располагалась там до Великой Отечественной войны. Сам храм был закрыт в 1931 году, священные реликвии осквернены, высокохудожественные предметы церковного убранства разграблены. А после войны 1941-1945 годов здание церкви заняла сначала фабрика ""Точмех"", а с 1960 года под церковные своды въехала фабрика ""Игрушка"", вибрация станков которой и технические жидкости, используемые в производстве, нанесли храму непоправимый ущерб.

В 1995 году храм был возвращен общине. Здание находилось в аварийном состоянии: перекрытия сгнили, полов не было вообще, свод алтарной апсиды дал трещину, проходившую почти до середины храма. В связи с отсутствием средств на восстановление церковь находилась в таком состоянии еще несколько лет - до 1998 года, когда и началась его реставрация. Было разобрано перекрытие, выстроенное в церковном зале. 11 апреля 1999 года храм был вновь освящен и с этого времени в нем проводятся регулярные богослужения. В конце 2000 года в помещении церкви был сделан ремонт. Тогда на сводах обнаружилась живопись начала XIX века, а сегодня уже выполнена большая часть витража в центральном окне алтаря. Реставраторам еще предстоит выполнить новый иконостас, взамен ныне установленного временного; обновить росписи над хорами; начат ремонт фасадов, которые необходимо заново перештукатурить. Планами предусматривается полное восстановление убранства храма, его исторических интерьеров, возвращение знамен и штандартов. Допускается также установка новых флагов, вплоть до президентского штандарта.

Острым вопросом реставрации церкви стал памятник Н. А. Загряжскому, сооруженный в 1812 году слева от входа у северной стены. Памятник этот еще в 1955 году был перенесен на выставку ""Художественное убранство Павловского дворца"" и впоследствии попал в музейные фонды. Документы о восстановлении памятника на месте захоронения были готовы еще в 2001 году. Но без разрешения Минкульта предмет из основного фонда музея не может быть передан церкви. В ремонтно-восстановительных работах финансовое участие принимает Министерство иностранных дел России, отмечающее свое 200-летие. Уже сейчас церковь привлекает к себе внимание посетителей расположенных рядом дворца и парка сиянием позолоченного креста на обновленном куполе звонницы храма и звоном колоколов.

",2026-02-25 08:33:43.837,2026-02-25 08:36:54.443,"[59.68507, 30.446524]",f,f,[],2,https://yandex.ru/maps/-/CPef7-oA,cmjmw1dtu000010mlvrhu3o7o
cmm88y3i9000112n580oci2wb,cmm88p5t9000dujzcvqsqowv1,Парк Александрия,Природа,https://avatars.mds.yandex.net/get-altay/9828935/2a0000018895ca690c8983d2d2eacecc771f/XXXL,"Площадь — 115 га. Парк делится на две части — северную, где сосредоточено большинство построек, и южную, граничащую с морем. Разделительной чертой между ними служит главная Никольская аллея. 

Примерно в 1725–1726 годах земля перешла во владение князя Александра Меншикова, который планировал построить на ней загородный дворец «Монкураж» («Моя отвага»). Однако опала и ссылка не позволили ему завершить проект, и земли оказались заброшенными. 1825 год: Николай I сделал эти земли своей загородной резиденцией. Место получило название «Собственная Её Величества дача Александрия» в честь супруги императора Александры Фёдоровны. После революции 1917 года: парк был национализирован, и в его зданиях разместились музеи и дом отдыха. Во время Великой Отечественной войны: ансамбль получил серьёзные разрушения, восстановление продолжалось до начала XXI века.

Достопримечательности:

- Дворец «Коттедж» — построен в стиле неоготика, семья императора приезжала сюда отдыхать как на загородную дачу. Сегодня здесь музей, в котором хранятся вещи Александры Фёдоровны и других членов императорской семьи.

- Фермерский дворец — бывшая коровья ферма, которая после реконструкции превратилась в полноценный дворец Александра II. Известен Синим кабинетом императора, в котором государь проводил приёмы чиновников и заседания комитетов.

- Готическая капелла — здание в неоготическом стиле, возведено в 1834 году по проекту архитекторов К.Ф. Шинкеля, А. Менеласа и И.И. Шарлеманя. Православный храм служил домовой церковью царской семьи.

- Фельдъегерский домик — изначально домик был построен для дежурного фельдъегеря императора Александра II, сейчас там находится музей истории фельдъегерской службы России. Экспозиция — коллекция оригинальных предметов, которые принадлежали офицеру Императорского фельдъегерского корпуса: форма, нагрудная сумка, переносной сейф для секретных документов.

- Готический колодец — чугунный павильон для колодца, был изготовлен и установлен в 1835 году. Представляет собой четырёхугольную беседку с колоннами и готическими капителями.",2026-03-01 21:12:58.69,2026-03-01 21:24:16.522,"[59.880554, 29.940202]",f,t,[],1,https://yandex.ru/maps/-/CPqZyWiF,cmjmw1dtu000010mlvrhu3o7o
cmltjxpby000avit4h1uzv11b,cmltjkx500001dfd78lztl2cl,Константино-Еленинский женский монастырь,Церковь,https://avatars.mds.yandex.net/get-altay/16485345/2a0000019bb19af2383c900831d68e43a58d/XXXL,"Церковь иконы Пресвятой Богородицы ""Похвала Пресвятой Богородицы"" заложена 22 июня 2013 года с целью объединить небольшие храмы Константино-Еленинского женского монастыря в целостный комплекс. В монастыре строятся Святые врата (западные) и ведутся большие работы по перепланировке территории.",2026-02-19 14:24:03.454,2026-02-19 15:45:24.62,"[60.224634, 29.848532]",f,f,[],7,https://yandex.ru/maps/-/CPaNb0ot,cmjmw1dtu000010mlvrhu3o7o
cml96oola0005q7qrzj3mk56q,cmkvbalj70001nhn8d6tsk8rs,Марусина ферма,Природа,https://www.tursar.ru/image/img3948_0.jpg,"Здесь гостям расскажут историю создания фермы, покажут, как содержат коз, чем кормят и каким способом получают вкусное и полезное молоко.",2026-02-05 08:17:44.063,2026-02-15 21:20:01.798,"[52.057376, 47.378846]",f,f,[],10,,cmjmw1dtu000010mlvrhu3o7o
cmlqr45kb000kqu5tmrnm96wf,cmlqng3uz0007jcd5k7ji4xbv,Дворцовый парк,Природа,http://avatars.mds.yandex.net/get-altay/18111423/2a0000019c1538e31504f3a51b4d3cac688e/XXXL,"Дворцовый парк в Гатчине — это старейший из комплекса гатчинских парков, созданный в конце XVIII века. Главное сооружение парка — Большой Гатчинский дворец. Парк занимает площадь 143 гектара и расположен в центральной части города. Почти четверть площади парка занимает водная гладь — Белое и Серебряное озера, русла небольших речек и каналов. Центр паркового ансамбля — Белое озеро, через которое проходят две основные композиционные оси парка.",2026-02-17 15:21:43.212,2026-02-17 15:54:28.01,"[59.567958, 30.104083]",f,t,[],4,https://yandex.ru/maps/-/CPUdzCZu,cmjmw1dtu000010mlvrhu3o7o
